,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73
LON,121.760056,121.6408,121.689881,121.537778,121.451861,121.458667,121.4325,121.481028,121.365703,121.449239,121.5145,121.526528,121.507972,121.529556,121.578611,121.513311,121.304417,121.201811,121.082761,121.204981,121.21635,121.038653,121.088903,120.972075,120.898572,120.8202,120.758833,120.741711,120.568794,120.677689,120.641092,120.616917,120.541519,120.469061,120.409653,120.685306,120.544994,120.348742,120.345531,120.24735,120.202842,120.440833,120.31725,120.297142,120.218333,120.202617,120.530542,120.305689,120.332631,120.358083,120.425311,120.41175,120.328289,120.292917,120.288086,120.307564,120.337736,120.488033,120.561175,120.788928,121.15045,121.599769,121.529583,121.746394,121.792928,121.493806,121.221667,120.677306,121.516306,120.312017,120.967903,121.161933,120.251825,121.537975
LAT,25.129167,25.065669,25.179667,24.977222,24.982528,25.012972,25.037972,25.06895,25.07857,25.1645,25.105917,25.062361,25.046503,25.020608,25.05,25.0632,24.995667,25.060344,25.035503,24.954208,24.863869,24.900142,24.740644,24.805619,24.696969,24.565269,24.382942,24.256586,24.225628,24.099611,24.151958,24.162197,24.066,24.131672,23.925175,23.913,23.711853,23.757547,23.554839,23.465308,23.717533,23.462778,23.305633,23.115097,23.048333,22.984581,22.883583,22.757506,22.689056,22.627392,22.564136,22.4795,22.733667,22.674861,22.632567,22.605386,22.565833,22.673081,22.523108,21.958069,22.755358,23.971306,25.182722,24.747917,24.632203,25.072611,24.953278,23.756389,25.017,22.608711,23.968842,23.045083,23.753506,25.297436
20080101,24.375,23.125,24.66666667,28.625,30.16666667,26.75,25.125,23.45833333,28,25.66666667,,34.33333333,29.5,34.75,31,,36.04166667,29.54166667,28,30.33333333,29.5,31.16666667,22.33333333,32.375,28.58333333,27.66666667,24.41666667,29.54166667,28,34.83333333,36.25,34.375,37.41666667,29.875,39.20833333,36.125,46.16666667,,41.41666667,40.16666667,31.08333333,48.125,46.70833333,41.875,47.04166667,46.83333333,54.625,54.875,58.375,60.08333333,68.70833333,63.20833333,57.875,59.95833333,61.20833333,61.41666667,63.33333333,60.125,67.54166667,22.33333333,26.33333333,32.875,21,33.70833333,31.91666667,,34.125,49.29166667,31.5,62.20833333,55.20833333,33.04166667,,
20080102,28.58333333,29.16666667,27.75,33.66666667,35.75,,31.20833333,31.16666667,36.66666667,31.125,,38.79166667,41.08333333,39.625,37.58333333,,37.04166667,37.45833333,34.58333333,38,33.33333333,41.04166667,32.83333333,40,36.375,34.625,30.95833333,,34.66666667,40.16666667,42.16666667,41.79166667,45.20833333,,,41.95833333,55.75,,49.58333333,46.83333333,,56.20833333,50.41666667,52.16666667,50.875,57.66666667,66.45833333,,67.66666667,71.33333333,75.70833333,60.5,69.25,69.70833333,70.58333333,70.2173913,76.08333333,74.70833333,72.16666667,29.33333333,33.79166667,35.875,25.125,,35.54166667,,42.91666667,,35.5,,61.33333333,37.29166667,,
20080103,18.25,20.29166667,13.625,,,22.875,18.125,18.58333333,24.45833333,,19.83333333,24.91666667,26,27.20833333,27.79166667,,,23.41666667,27.08333333,24.875,22.25,,23.54166667,26.91666667,,,34.625,52.33333333,38.91666667,63.5,,51.95833333,55.875,32.75,43.33333333,,66.375,38.08333333,55.79166667,47.75,,71.08333333,55.75,62.875,59.29166667,65.75,70.91666667,75.70833333,77.91666667,75.70833333,,68.33333333,80.41666667,80.375,81.33333333,79.08333333,78.25,80.5,87.45833333,16.33333333,29.66666667,30.41666667,12.95833333,26.875,24.79166667,,27.75,67.125,21.125,78.33333333,,,,
20080104,14.91666667,,7.833333333,13.41666667,16.75,18.125,,14.875,,13.91666667,17.875,19.5,20.66666667,,19.625,,17.625,22.45833333,17.25,18.625,17.41666667,,16.54166667,21.45833333,18.75,27.66666667,,41.04166667,,54.125,50.875,42.125,49.08333333,24.91666667,29.5,53,60.20833333,,,,22.08333333,,55.16666667,53.5,53.66666667,68.54166667,55.375,71,57.70833333,66.08333333,77.70833333,63.75,65.25,70.72727273,72.66666667,79.75,69.5,60.125,70.41666667,7.958333333,16.66666667,,3.125,16.58333333,16.04166667,26.75,25.54166667,59.79166667,16.83333333,77.20833333,74.79166667,20.29166667,,
20080105,20.95833333,25.29166667,16.75,,27.70833333,33.125,27.91666667,30.16666667,24.58333333,25.58333333,,31.125,33.375,,27.625,,27.16666667,26.54166667,27.33333333,32.5,26.75,33.54166667,28.375,37.91666667,33.08333333,35.45833333,30.29166667,34.04166667,38.25,49.33333333,,40.66666667,45.08333333,42.41666667,39.625,45.54166667,59.04166667,36.33333333,46.875,40.20833333,29.33333333,57.08333333,43.33333333,45.625,41.95833333,53.20833333,45.625,62.04166667,58.125,56.83333333,66.45833333,59.75,58.91666667,57.58333333,59.66666667,69.54166667,61.625,45.29166667,56.125,8.333333333,16.25,23,14.875,26.75,20,37.41666667,36.125,50.625,29.79166667,69,55.75,14.95833333,,
20080106,30.25,27.625,20.875,37.38461538,43.58333333,43.33333333,39.08333333,38.66666667,38.5,33.625,34.125,,,,33.91666667,,42.79166667,43.91666667,37.54166667,46.16666667,41.91666667,47.58333333,38.16666667,56.66666667,46.04166667,47.08333333,32.125,43.25,48.08333333,66.20833333,61.875,51.625,57.16666667,47.33333333,50.04166667,56.08333333,68.33333333,51.5,58.375,51.91666667,41.66666667,72.04166667,61.58333333,66.16666667,62.95833333,85.08333333,43.66666667,75.25,63.91666667,72.95833333,80.66666667,50.91666667,64.83333333,70.95833333,65.375,89.4375,68,58.29166667,56.16666667,12.875,23.79166667,24.04166667,17.95833333,20.83333333,22.875,43.16666667,52.5,54.5,36.75,76.16666667,44.83333333,18.25,,
20080107,32.54166667,35.20833333,22.91666667,,52.58333333,56.20833333,52.45833333,,42.58333333,42,32.20833333,,45.58333333,,,,,55.20833333,46.91666667,56.875,,52.91666667,,68.875,59.79166667,58.54166667,,,65.45833333,,,61.70833333,,,60.95833333,55.54166667,71.375,61.41666667,66.625,56.20833333,48.20833333,77.41666667,62.79166667,,,91.125,70.04166667,100.25,81.70833333,96.25,97.54166667,70.95833333,,89.83333333,90.08333333,,87.16666667,82.29166667,62.39130435,,18.29166667,20.29166667,17.83333333,26.20833333,26.91666667,,60.75,60.66666667,41.54166667,95.125,44.66666667,14,,
20080108,,,45.58333333,,,85.75,77.33333333,72.66666667,77.25,64.20833333,62.91666667,72.45833333,77.33333333,71.70833333,62.45833333,,,99.16666667,98.75,88,75.125,86.70833333,80.04166667,108.75,,,58.83333333,78.91666667,,106.2916667,101.7916667,94.41666667,106.5,103.9166667,97.41666667,81.25,,92.70833333,103.2083333,101.1666667,84.5,109.2916667,96.5,88.70833333,94.45833333,,72.29166667,99.77272727,73.08333333,84.08333333,97.16666667,66.20833333,,90.5,93.83333333,90.33333333,81.95833333,72.45833333,54.33333333,7.875,,25.75,27.58333333,38.41666667,37.29166667,,98.66666667,,80.08333333,,49.33333333,,,
