model,dx,nx,dy,ny
NorESM2-MM,1.25,288,0.9424083769633569,192
FGOALS-g3,2.0,180,5.181141717273036,80
IPSL-CM6A-LR,2.5,144,1.267608642578125,143
CESM2-WACCM,1.25,288,0.9424083769633569,192
CMCC-CM2-SR5,1.25,288,0.9424083769633569,192
GFDL-ESM4,1.2499999999999998,288,1.0,180
GFDL-CM4,2.4999999999999996,144,2.0,90
NorESM2-LM,2.5,144,1.8947368421052602,96
INM-CM4-8,2.0,180,1.5,120
EC-Earth3-Veg,0.703125,512,0.6958702157351979,256
ACCESS-CM2,1.875,192,1.25,145
MIROC6,1.40625,256,1.3890301392687405,128
MPI-ESM1-2-LR,1.875,192,1.8496375593391292,96
INM-CM5-0,2.0,180,1.5,120
MRI-ESM2-0,1.125,320,1.112089999999995,160
ACCESS-ESM1-5,1.875,192,1.25,144
CMCC-ESM2,1.25,288,0.9424083769633569,192
EC-Earth3,0.703125,512,0.6958702157351979,256
CanESM5,2.8125,128,2.7672718509152787,64
MPI-ESM1-2-HR,0.9375,384,0.9272240138487007,192
KACE-1-0-G,1.875,192,1.25,145
TaiESM1,1.25,288,0.9424083769633569,192
E3SM-1-0,1.0,360,1.0,180
EC-Earth3-Veg-LR,1.125,320,1.1120905585096068,160
EC-Earth3-CC,0.703125,512,0.6958699999999993,256
IITM-ESM,1.875,192,1.8887829660363167,94
NESM3,1.875,192,1.849639892578125,96
