yyyymmdd,month,year,doy
1980-10-16,10,1980,290
1980-10-17,10,1980,291
1980-11-10,11,1980,315
1980-11-11,11,1980,316
1980-11-26,11,1980,331
1980-11-29,11,1980,334
1980-12-01,12,1980,336
1980-12-03,12,1980,338
1980-12-10,12,1980,345
1980-12-11,12,1980,346
1980-12-13,12,1980,348
1980-12-25,12,1980,360
1980-12-31,12,1980,366
1981-01-05,1,1981,5
1981-01-14,1,1981,14
1981-01-18,1,1981,18
1981-01-20,1,1981,20
1981-01-23,1,1981,23
1981-02-02,2,1981,33
1981-02-08,2,1981,39
1981-02-10,2,1981,41
1981-02-11,2,1981,42
1981-02-12,2,1981,43
1981-02-13,2,1981,44
1981-02-14,2,1981,45
1981-02-16,2,1981,47
1981-02-21,2,1981,52
1981-02-22,2,1981,53
1981-02-23,2,1981,54
1981-02-28,2,1981,59
1981-03-03,3,1981,62
1981-03-08,3,1981,67
1981-03-10,3,1981,69
1981-03-21,3,1981,80
1981-03-22,3,1981,81
1981-03-23,3,1981,82
1981-03-24,3,1981,83
1981-03-27,3,1981,86
1981-03-28,3,1981,87
1981-03-29,3,1981,88
1981-04-01,4,1981,91
1981-04-03,4,1981,93
1981-04-04,4,1981,94
1981-04-05,4,1981,95
1981-04-08,4,1981,98
1981-04-09,4,1981,99
1981-04-10,4,1981,100
1981-04-11,4,1981,101
1981-04-24,4,1981,114
1981-04-26,4,1981,116
1981-04-27,4,1981,117
1981-10-08,10,1981,281
1981-10-26,10,1981,299
1981-10-27,10,1981,300
1981-10-28,10,1981,301
1981-10-30,10,1981,303
1981-11-03,11,1981,307
1981-11-04,11,1981,308
1981-12-04,12,1981,338
1981-12-08,12,1981,342
1982-01-02,1,1982,2
1982-01-03,1,1982,3
1982-01-09,1,1982,9
1982-01-10,1,1982,10
1982-01-11,1,1982,11
1982-01-19,1,1982,19
1982-01-20,1,1982,20
1982-01-21,1,1982,21
1982-01-22,1,1982,22
1982-01-23,1,1982,23
1982-01-24,1,1982,24
1982-01-30,1,1982,30
1982-01-31,1,1982,31
1982-02-02,2,1982,33
1982-02-03,2,1982,34
1982-02-18,2,1982,49
1982-02-19,2,1982,50
1982-02-22,2,1982,53
1982-02-23,2,1982,54
1982-03-03,3,1982,62
1982-03-04,3,1982,63
1982-03-05,3,1982,64
1982-03-13,3,1982,72
1982-04-10,4,1982,100
1982-04-11,4,1982,101
1982-04-12,4,1982,102
1982-04-13,4,1982,103
1982-04-15,4,1982,105
1982-04-16,4,1982,106
1982-04-17,4,1982,107
1982-04-19,4,1982,109
1982-04-20,4,1982,110
1982-04-26,4,1982,116
1982-04-29,4,1982,119
1982-04-30,4,1982,120
1982-10-30,10,1982,303
1982-10-31,10,1982,304
1982-11-02,11,1982,306
1982-11-03,11,1982,307
1982-11-04,11,1982,308
1982-11-05,11,1982,309
1982-11-09,11,1982,313
1982-11-11,11,1982,315
1982-11-12,11,1982,316
1982-11-13,11,1982,317
1982-11-14,11,1982,318
1982-11-18,11,1982,322
1982-12-23,12,1982,357
1982-12-24,12,1982,358
1982-12-26,12,1982,360
1982-12-29,12,1982,363
1982-12-30,12,1982,364
1983-01-03,1,1983,3
1983-01-04,1,1983,4
1983-01-11,1,1983,11
1983-01-16,1,1983,16
1983-01-17,1,1983,17
1983-01-20,1,1983,20
1983-01-27,1,1983,27
1983-01-28,1,1983,28
1983-01-29,1,1983,29
1983-02-01,2,1983,32
1983-02-03,2,1983,34
1983-02-05,2,1983,36
1983-02-18,2,1983,49
1983-02-19,2,1983,50
1983-02-22,2,1983,53
1983-02-23,2,1983,54
1983-03-01,3,1983,60
1983-03-05,3,1983,64
1983-03-07,3,1983,66
1983-03-08,3,1983,67
1983-03-09,3,1983,68
1983-03-11,3,1983,70
1983-03-14,3,1983,73
1983-03-18,3,1983,77
1983-03-19,3,1983,78
1983-03-21,3,1983,80
1983-03-22,3,1983,81
1983-03-23,3,1983,82
1983-03-31,3,1983,90
1983-04-01,4,1983,91
1983-04-02,4,1983,92
1983-04-03,4,1983,93
1983-04-05,4,1983,95
1983-04-06,4,1983,96
1983-04-07,4,1983,97
1983-04-09,4,1983,99
1983-04-10,4,1983,100
1983-04-12,4,1983,102
1983-04-13,4,1983,103
1983-04-14,4,1983,104
1983-04-15,4,1983,105
1983-04-19,4,1983,109
1983-04-21,4,1983,111
1983-04-23,4,1983,113
1983-04-24,4,1983,114
1983-04-25,4,1983,115
1983-04-26,4,1983,116
1983-04-27,4,1983,117
1983-04-28,4,1983,118
1983-12-06,12,1983,340
1983-12-09,12,1983,343
1983-12-10,12,1983,344
1983-12-12,12,1983,346
1983-12-21,12,1983,355
1984-01-10,1,1984,10
1984-01-11,1,1984,11
1984-01-13,1,1984,13
1984-01-14,1,1984,14
1984-01-17,1,1984,17
1984-02-01,2,1984,32
1984-02-04,2,1984,35
1984-02-09,2,1984,40
1984-02-16,2,1984,47
1984-02-19,2,1984,50
1984-02-21,2,1984,52
1984-02-22,2,1984,53
1984-03-02,3,1984,62
1984-03-04,3,1984,64
1984-03-05,3,1984,65
1984-03-06,3,1984,66
1984-03-11,3,1984,71
1984-03-12,3,1984,72
1984-03-13,3,1984,73
1984-03-15,3,1984,75
1984-03-18,3,1984,78
1984-03-22,3,1984,82
1984-03-23,3,1984,83
1984-03-29,3,1984,89
1984-03-31,3,1984,91
1984-04-02,4,1984,93
1984-04-03,4,1984,94
1984-04-04,4,1984,95
1984-04-05,4,1984,96
1984-04-12,4,1984,103
1984-04-13,4,1984,104
1984-04-14,4,1984,105
1984-04-15,4,1984,106
1984-04-16,4,1984,107
1984-04-17,4,1984,108
1984-04-18,4,1984,109
1984-04-20,4,1984,111
1984-04-23,4,1984,114
1984-04-24,4,1984,115
1984-04-25,4,1984,116
1984-04-27,4,1984,118
1984-12-13,12,1984,348
1984-12-14,12,1984,349
1985-01-01,1,1985,1
1985-01-16,1,1985,16
1985-01-17,1,1985,17
1985-01-19,1,1985,19
1985-01-20,1,1985,20
1985-01-21,1,1985,21
1985-01-22,1,1985,22
1985-01-31,1,1985,31
1985-02-01,2,1985,32
1985-02-02,2,1985,33
1985-02-03,2,1985,34
1985-02-04,2,1985,35
1985-02-08,2,1985,39
1985-02-11,2,1985,42
1985-02-14,2,1985,45
1985-02-17,2,1985,48
1985-02-24,2,1985,55
1985-03-01,3,1985,60
1985-03-06,3,1985,65
1985-03-07,3,1985,66
1985-03-24,3,1985,83
1985-03-25,3,1985,84
1985-03-26,3,1985,85
1985-03-27,3,1985,86
1985-04-01,4,1985,91
1985-04-04,4,1985,94
1985-04-05,4,1985,95
1985-04-06,4,1985,96
1985-04-08,4,1985,98
1985-04-09,4,1985,99
1985-04-10,4,1985,100
