yyyymmdd,CS,TYW,TC100,TC200,TC300,TC500,TC1000,NWPTY,FT,NE,SNE,SWF,SSWF,DS,AQIN,AQIC,AQIS,week-synoptic
19800101,0,0,0,0,0,0,0,0,1,0,0,0,0,9,9,9,9,0
19800102,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,9,9,1
19800103,0,0,0,0,0,0,0,0,0,1,1,0,0,9,9,9,9,0
19800104,0,0,0,0,0,0,0,0,1,1,1,0,0,9,9,9,9,0
19800105,0,0,0,0,0,0,0,0,0,1,1,0,0,9,9,9,9,0
19800106,0,0,0,0,0,0,0,0,0,1,1,0,0,9,9,9,9,0
19800107,0,0,0,0,0,0,0,0,0,1,1,0,0,9,9,9,9,0
19800108,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,9,9,1
19800109,0,0,0,0,0,0,0,0,1,1,1,0,0,9,9,9,9,0
19800110,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,9,9,1
19800111,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,9,9,1
19800112,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,9,9,1
19800113,0,0,0,0,0,0,0,0,0,1,1,0,0,9,9,9,9,0
19800114,0,0,0,0,0,0,0,0,0,1,1,0,0,9,9,9,9,0
19800115,0,0,0,0,0,0,0,0,0,1,0,0,0,9,9,9,9,0
19800116,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,9,9,1
19800117,0,0,0,0,0,0,0,0,1,1,1,0,0,9,9,9,9,0
19800118,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,9,9,1
19800119,0,0,0,0,0,0,0,0,0,1,0,0,0,9,9,9,9,0
19800120,0,0,0,0,0,0,0,0,0,1,1,0,0,9,9,9,9,0
19800121,1,0,0,0,0,0,0,0,0,1,1,0,0,9,9,9,9,0
19800122,0,0,0,0,0,0,0,0,0,1,1,0,0,9,9,9,9,0
19800123,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,9,9,1
19800124,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,9,9,1
19800125,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,9,9,1
19800126,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,9,9,1
19800127,0,0,0,0,0,0,0,0,1,0,0,0,0,9,9,9,9,0
19800128,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,9,9,1
19800129,0,0,0,0,0,0,0,0,1,1,1,0,0,9,9,9,9,0
19800130,1,0,0,0,0,0,0,0,0,1,1,0,0,9,9,9,9,0
19800131,1,0,0,0,0,0,0,0,0,1,1,0,0,9,9,9,9,0
19800201,0,0,0,0,0,0,0,0,0,1,1,0,0,9,9,9,9,0
19800202,0,0,0,0,0,0,0,0,1,1,1,0,0,9,9,9,9,0
19800203,0,0,0,0,0,0,0,0,0,1,1,0,0,9,9,9,9,0
19800204,1,0,0,0,0,0,0,0,1,1,1,0,0,9,9,9,9,0
19800205,1,0,0,0,0,0,0,0,1,1,1,0,0,9,9,9,9,0
19800206,0,0,0,0,0,0,0,0,0,1,1,0,0,9,9,9,9,0
19800207,0,0,0,0,0,0,0,0,1,1,1,0,0,9,9,9,9,0
19800208,0,0,0,0,0,0,0,0,1,1,1,0,0,9,9,9,9,0
19800209,0,0,0,0,0,0,0,0,0,1,1,0,0,9,9,9,9,0
19800210,0,0,0,0,0,0,0,0,0,1,1,0,0,9,9,9,9,0
19800211,0,0,0,0,0,0,0,0,0,1,1,0,0,9,9,9,9,0
19800212,0,0,0,0,0,0,0,0,1,1,1,0,0,9,9,9,9,0
19800213,0,0,0,0,0,0,0,0,0,1,1,0,0,9,9,9,9,0
19800214,0,0,0,0,0,0,0,0,1,1,1,0,0,9,9,9,9,0
19800215,0,0,0,0,0,0,0,0,0,1,1,0,0,9,9,9,9,0
19800216,0,0,0,0,0,0,0,0,0,1,1,0,0,9,9,9,9,0
19800217,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,9,9,1
19800218,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,9,9,1
19800219,0,0,0,0,0,0,0,0,1,1,1,0,0,9,9,9,9,0
19800220,0,0,0,0,0,0,0,0,0,1,1,0,0,9,9,9,9,0
